feature,mean_abs_shap,share_pct,plain_english
cp,0.39949094088628134,14.690932201015405,chest pain type
gender,0.3261884117918967,11.995295392081838,biological sex
exang,0.3059080943816502,11.24950434253257,exercise-induced angina
oldpeak,0.2874961949600591,10.572422740896187,ST depression induced by exercise
ca,0.2813397365628562,10.346024333185046,number of major vessels coloured by fluoroscopy
thal,0.2241901404919953,8.244397599598042,thalassemia / blood-flow defect type
slope,0.2139128332625171,7.866458557019731,slope of the peak exercise ST segment
thalach,0.2016640306307924,7.416019484216051,maximum heart rate achieved
restecg,0.1290450989511627,4.745521376176862,resting ECG result
age,0.10066325493359315,3.701803725716801,age in years
trestbps,0.0958631338796699,3.52528344517325,resting blood pressure
chol,0.07767767208103676,2.8565288903511306,serum cholesterol
fbs,0.07586332660323972,2.789807912037075,fasting blood sugar > 120 mg/dl
